"state","USPS","Median_Household_Income"
"Alabama","AL",62212
"Alaska","AK",86631
"Arizona","AR",77315
"Arkansas","AZ",58700
"California","CA",95521
"Colorado","CO",92911
"Connecticut","CT",91665
"Delaware","DE",81361
"District of Columbia","DC",108210
"Florida","FL",73311
"Georgia","GA",74632
"Hawaii","HI",95322
"Idaho","ID",74942
"Illinois","IL",80306
"Indiana","IN",69477
"Iowa","IA",71433
"Kansas","KS",70333
"Kentucky","KY",61118
"Louisiana","LA",58229
"Maine","ME",73733
"Maryland","MD",98678
"Massachusetts","MA",99858
"Michigan","MI",69183
"Minnesota","MN",85086
"Mississippi","MS",54203
"Missouri","MO",68545
"Montana","MT",70804
"Nebraska","NE",74590
"Nevada","NV",76364
"New Hampshire","NH",96838
"New Jersey","NJ",99781
"New Mexico","NM",62268
"New York","NY",82095
"North Carolina","NC",70804
"North Dakota","ND",76525
"Ohio","OH",67769
"Oklahoma","OK",62138
"Oregon","OR",80160
"Pennsylvania","PA",73824
"Rhode Island","RI",84972
"South Carolina","SC",67804
"South Dakota","SD",71810
"Tennessee","TN",67631
"Texas","TX",75780
"Utah","UT",93421
"Vermont","VT",81211
"Virginia","VA",89931
"Washington","WA",94605
"West Virginia","WV",55948
"Wisconsin","WI",74631
"Wyoming","WY",72415
"United States","United States",80610
